1	1	0	0	0	0	0	0	2550	3301	-1	
2	1	1	0	0	0	2035	243	67	26	-1	
3	1	1	1	0	0	2035	243	67	26	-1	
4	1	1	1	1	0	2035	243	67	26	-1	
5	1	1	1	1	1	2035	243	67	26	92.386894	IEEE
2	1	2	0	0	0	1900	279	202	25	-1	
3	1	2	1	0	0	1900	279	202	25	-1	
4	1	2	1	1	0	1900	279	202	25	-1	
5	1	2	1	1	1	1900	280	45	24	95.631744	Std
5	1	2	1	1	2	1957	279	145	25	95.631744	1012-1998
2	1	3	0	0	0	439	282	468	24	-1	
3	1	3	1	0	0	439	282	468	24	-1	
4	1	3	1	1	0	439	282	468	24	-1	
5	1	3	1	1	1	439	282	211	24	96.205421	VERIFICATION
5	1	3	1	1	2	661	282	64	23	95.351242	AND
5	1	3	1	1	3	732	282	175	24	95.351242	VALIDATION
2	1	4	0	0	0	1977	384	15	2449	-1	
3	1	4	1	0	0	1977	384	15	2449	-1	
4	1	4	1	1	0	1977	384	15	2449	-1	
5	1	4	1	1	1	1977	384	15	2449	95.000000	 
2	1	5	0	0	0	1911	384	17	2485	-1	
3	1	5	1	0	0	1911	384	17	2485	-1	
4	1	5	1	1	0	1911	384	17	2485	-1	
5	1	5	1	1	1	1911	384	17	2485	95.000000	 
2	1	6	0	0	0	1815	384	17	2486	-1	
3	1	6	1	0	0	1815	384	17	2486	-1	
4	1	6	1	1	0	1815	384	17	2486	-1	
5	1	6	1	1	1	1815	384	17	2486	95.000000	 
2	1	7	0	0	0	1749	384	17	2468	-1	
3	1	7	1	0	0	1749	384	17	2468	-1	
4	1	7	1	1	0	1749	384	17	2468	-1	
5	1	7	1	1	1	1749	384	17	2468	95.000000	 
2	1	8	0	0	0	1719	2115	326	4	-1	
3	1	8	1	0	0	1719	2115	326	4	-1	
4	1	8	1	1	0	1719	2115	326	4	-1	
5	1	8	1	1	1	1719	2115	326	4	95.000000	 
2	1	9	0	0	0	1682	384	18	2471	-1	
3	1	9	1	0	0	1682	384	18	2471	-1	
4	1	9	1	1	0	1682	384	18	2471	-1	
5	1	9	1	1	1	1682	384	18	2471	95.000000	 
2	1	10	0	0	0	1666	1253	379	4	-1	
3	1	10	1	0	0	1666	1253	379	4	-1	
4	1	10	1	1	0	1666	1253	379	4	-1	
5	1	10	1	1	1	1666	1253	379	4	95.000000	 
2	1	11	0	0	0	1661	1963	384	3	-1	
3	1	11	1	0	0	1661	1963	384	3	-1	
4	1	11	1	1	0	1661	1963	384	3	-1	
5	1	11	1	1	1	1661	1963	384	3	95.000000	 
